ACCIDENT_NO,ACCIDENT_DATE,ACCIDENT_TIME,DAY_WEEK_DESC,ACCIDENT_TYPE,ACCIDENT_TYPE_DESC,SEVERITY_RANK,LIGHT_CONDITION_DESC,LGA_NAME,ROAD_GEOMETRY_DESC,SPEED_ZONE,LATITUDE,LONGITUDE
T20120000224,04-01-2012,15.00.00,Wednesday,4,Collision with a fixed object,3,Day,BASS COAST,Not at intersection,777,-38.45746,145.214829
T20120000452,07-01-2012,14.15.00,Saturday,1,Collision with vehicle,3,Day,BASS COAST,T intersection,80,-38.521077,145.334047
T20120000804,12-01-2012,8.35.00,Thursday,4,Collision with a fixed object,3,Day,BASS COAST,Not at intersection,100,-38.503088,145.659593
T20120000824,12-01-2012,13.27.00,Thursday,1,Collision with vehicle,2,Day,BASS COAST,Not at intersection,50,-38.521138,145.36848
T20120000829,11-01-2012,10.00.00,Wednesday,4,Collision with a fixed object,3,Day,BASS COAST,Not at intersection,80,-38.57687,145.574129
T20120000902,12-01-2012,18.20.00,Thursday,1,Collision with vehicle,2,Day,BASS COAST,Cross intersection,80,-38.407583,145.530382
T20120001166,16-01-2012,15.58.00,Monday,1,Collision with vehicle,1,Day,BASS COAST,Not at intersection,80,-38.507914,145.291477
T20120001449,20-01-2012,11.42.00,Friday,2,Struck Pedestrian,3,Day,BASS COAST,Not at intersection,50,-38.634628,145.728837
T20120002165,29-01-2012,3.34.00,Sunday,4,Collision with a fixed object,2,Dark No street lights,BASS COAST,Not at intersection,110,-38.330718,145.549221
T20120002276,30-01-2012,13.23.00,Monday,1,Collision with vehicle,2,Day,BASS COAST,Cross intersection,60,-38.602541,145.593175
T20120002289,29-01-2012,17.31.00,Sunday,1,Collision with vehicle,2,Day,BASS COAST,Y intersection,80,-38.499327,145.274594
T20120003171,09-02-2012,20.50.00,Thursday,4,Collision with a fixed object,2,Dark No street lights,BASS COAST,Not at intersection,100,-38.529651,145.448038
T20120003297,11-02-2012,10.30.00,Saturday,1,Collision with vehicle,2,Day,BASS COAST,T intersection,80,-38.521077,145.334047
T20120003349,11-02-2012,6.15.00,Saturday,4,Collision with a fixed object,2,Dusk/Dawn,BASS COAST,Not at intersection,50,-38.45657,145.201444
T20120003468,20-01-2012,7.30.00,Friday,1,Collision with vehicle,3,Day,BASS COAST,T intersection,100,-38.4823,145.613866
T20120003500,13-02-2012,20.40.00,Monday,1,Collision with vehicle,2,Dark Street lights on,BASS COAST,T intersection,80,-38.496601,145.160436
T20120003816,17-02-2012,5.40.00,Friday,1,Collision with vehicle,1,Dark No street lights,BASS COAST,Not at intersection,80,-38.50787,145.451339
T20120004475,24-02-2012,10.40.00,Friday,2,Struck Pedestrian,3,Day,BASS COAST,Not at intersection,50,-38.45029,145.23586
T20120004700,27-02-2012,8.25.00,Monday,4,Collision with a fixed object,3,Day,BASS COAST,Not at intersection,100,-38.37121,145.563268
T20120005014,01-03-2012,7.50.00,Thursday,4,Collision with a fixed object,3,Day,BASS COAST,Not at intersection,100,-38.548765,145.656907
T20120005091,01-01-2012,15.30.00,Sunday,4,Collision with a fixed object,3,Day,BASS COAST,Not at intersection,100,-38.65654,145.599868
T20120005983,12-03-2012,0.15.00,Monday,4,Collision with a fixed object,3,Dark Street lights on,BASS COAST,Not at intersection,100,-38.43943,145.48449
T20120006056,26-02-2012,10.01.00,Sunday,6,Vehicle overturned (no collision),3,Day,BASS COAST,Cross intersection,80,-38.496697,145.238932
T20120006276,15-03-2012,9.20.00,Thursday,6,Vehicle overturned (no collision),2,Day,BASS COAST,Cross intersection,80,-38.500129,145.461469
T20120006691,11-03-2012,17.45.00,Sunday,1,Collision with vehicle,3,Day,BASS COAST,Cross intersection,60,-38.456133,145.210688
T20120006916,22-03-2012,8.30.00,Thursday,2,Struck Pedestrian,3,Day,BASS COAST,Not at intersection,50,-38.598466,145.578102
T20120007183,22-03-2012,18.00.00,Thursday,8,No collision and no object struck,2,Day,BASS COAST,Cross intersection,60,-38.452329,145.229666
T20120007398,28-03-2012,11.30.00,Wednesday,1,Collision with vehicle,3,Day,BASS COAST,Cross intersection,70,-38.56348,145.547396
T20120008150,04-04-2012,16.30.00,Wednesday,1,Collision with vehicle,3,Day,BASS COAST,Cross intersection,60,-38.625023,145.733005
T20120008514,11-04-2012,17.35.00,Wednesday,4,Collision with a fixed object,3,Day,BASS COAST,Not at intersection,100,-38.496665,145.22718
T20120008549,11-04-2012,10.47.00,Wednesday,1,Collision with vehicle,3,Day,BASS COAST,Not at intersection,80,-38.514395,145.308288
T20120008686,13-04-2012,15.05.00,Friday,1,Collision with vehicle,3,Day,BASS COAST,Cross intersection,60,-38.521087,145.368941
T20120008967,16-04-2012,20.58.00,Monday,2,Struck Pedestrian,3,Dark No street lights,BASS COAST,Not at intersection,60,-38.482075,145.23704
T20120009448,21-04-2012,18.55.00,Saturday,4,Collision with a fixed object,2,Dark No street lights,BASS COAST,Not at intersection,50,-38.605154,145.578795
T20120009813,26-04-2012,7.05.00,Thursday,3,Struck animal,3,Day,BASS COAST,Not at intersection,100,-38.539697,145.587998
T20120010455,03-05-2012,21.20.00,Thursday,1,Collision with vehicle,2,Dark No street lights,BASS COAST,Not at intersection,100,-38.605092,145.765992
T20120011503,17-03-2012,15.30.00,Saturday,1,Collision with vehicle,3,Day,BASS COAST,T intersection,100,-38.496601,145.160436
T20120013015,04-06-2012,9.00.00,Monday,1,Collision with vehicle,3,Day,BASS COAST,Cross intersection,80,-38.625023,145.733005
T20120014521,23-06-2012,11.09.00,Saturday,1,Collision with vehicle,3,Day,BASS COAST,Multiple intersection,100,-38.554442,145.640145
T20120015030,29-06-2012,19.00.00,Friday,1,Collision with vehicle,2,Dark No street lights,BASS COAST,T intersection,50,-38.604634,145.593533
T20120015052,29-06-2012,21.30.00,Friday,4,Collision with a fixed object,2,Dark No street lights,BASS COAST,Not at intersection,100,-38.48322,145.61724
T20120016311,16-07-2012,16.25.00,Monday,6,Vehicle overturned (no collision),2,Dusk/Dawn,BASS COAST,Not at intersection,100,-38.403549,145.534799
T20120016400,14-07-2012,20.00.00,Saturday,1,Collision with vehicle,2,Dark No street lights,BASS COAST,Not at intersection,80,-38.463628,145.22338
T20120016719,21-07-2012,16.00.00,Saturday,2,Struck Pedestrian,3,Day,BASS COAST,Cross intersection,60,-38.456151,145.238985
T20120017110,26-07-2012,20.35.00,Thursday,6,Vehicle overturned (no collision),3,Dark Street lights on,BASS COAST,Cross intersection,50,-38.60616,145.591164
T20120017243,24-07-2012,13.40.00,Tuesday,1,Collision with vehicle,2,Day,BASS COAST,T intersection,100,-38.459302,145.597937
T20120017908,06-08-2012,6.26.00,Monday,8,No collision and no object struck,2,Dark No street lights,BASS COAST,Not at intersection,80,-38.58217,145.60574
T20120018263,09-08-2012,16.00.00,Thursday,1,Collision with vehicle,3,Day,BASS COAST,Not at intersection,80,-38.46432,145.196611
T20120018986,19-08-2012,16.15.00,Sunday,1,Collision with vehicle,2,Day,BASS COAST,Cross intersection,80,-38.40752,145.530234
T20120019301,24-08-2012,8.25.00,Friday,1,Collision with vehicle,3,Day,BASS COAST,Cross intersection,80,-38.625023,145.733005
T20120019499,26-08-2012,11.40.00,Sunday,1,Collision with vehicle,3,Day,BASS COAST,Cross intersection,100,-38.554429,145.64004
T20120019599,23-08-2012,16.30.00,Thursday,4,Collision with a fixed object,3,Day,BASS COAST,Not at intersection,100,-38.578981,145.632453
T20120019709,28-08-2012,20.30.00,Tuesday,1,Collision with vehicle,1,Dark Street lights on,BASS COAST,Not at intersection,80,-38.519281,145.341231
T20120020329,05-09-2012,21.50.00,Wednesday,1,Collision with vehicle,2,Dark Street lights on,BASS COAST,Cross intersection,100,-38.496697,145.238932
T20120021474,21-09-2012,14.30.00,Friday,1,Collision with vehicle,3,Day,BASS COAST,Cross intersection,50,-38.456151,145.238985
T20120021932,27-09-2012,15.10.00,Thursday,4,Collision with a fixed object,3,Day,BASS COAST,T intersection,100,-38.472201,145.474807
T20120022330,30-09-2012,17.30.00,Sunday,4,Collision with a fixed object,3,Day,BASS COAST,Not at intersection,100,-38.596917,145.785058
T20120023301,10-10-2012,9.30.00,Wednesday,1,Collision with vehicle,3,Day,BASS COAST,Cross intersection,60,-38.609522,145.589752
T20120024143,25-10-2012,15.45.00,Thursday,1,Collision with vehicle,2,Day,BASS COAST,Not at intersection,60,-38.496697,145.23732
T20120024164,26-10-2012,12.05.00,Friday,1,Collision with vehicle,2,Day,BASS COAST,Not at intersection,999,-38.49818,145.229484
T20120024907,04-11-2012,15.30.00,Sunday,4,Collision with a fixed object,2,Day,BASS COAST,Not at intersection,80,-38.62849,145.585079
T20120025044,07-11-2012,7.35.00,Wednesday,1,Collision with vehicle,2,Day,BASS COAST,Cross intersection,100,-38.554429,145.64004
T20120025286,10-11-2012,13.15.00,Saturday,4,Collision with a fixed object,2,Day,BASS COAST,Not at intersection,80,-38.429471,145.483349
T20120025311,10-11-2012,18.10.00,Saturday,1,Collision with vehicle,3,Day,BASS COAST,Cross intersection,50,-38.456155,145.248404
T20120025330,10-11-2012,8.30.00,Saturday,6,Vehicle overturned (no collision),3,Unk.,BASS COAST,Not at intersection,100,-38.543158,145.718524
T20120025455,26-09-2012,11.15.00,Wednesday,8,No collision and no object struck,3,Day,BASS COAST,Not at intersection,50,-38.501611,145.251913
T20120025796,16-11-2012,23.00.00,Friday,4,Collision with a fixed object,2,Dark No street lights,BASS COAST,T intersection,100,-38.536307,145.698643
T20120026495,26-11-2012,12.50.00,Monday,1,Collision with vehicle,3,Day,BASS COAST,T intersection,60,-38.453561,145.238972
T20120026863,22-11-2012,6.30.00,Thursday,4,Collision with a fixed object,3,Day,BASS COAST,Not at intersection,80,-38.602938,145.563933
T20120026913,01-12-2012,0.05.00,Saturday,1,Collision with vehicle,1,Dark No street lights,BASS COAST,Not at intersection,100,-38.292595,145.548271
T20120026998,01-12-2012,14.25.00,Saturday,1,Collision with vehicle,3,Day,BASS COAST,Not at intersection,100,-38.56401,145.54071
T20120027319,06-12-2012,14.00.00,Thursday,1,Collision with vehicle,3,Day,BASS COAST,Cross intersection,60,-38.602541,145.593175
T20120027696,23-11-2012,15.50.00,Friday,1,Collision with vehicle,2,Day,BASS COAST,Not at intersection,50,-38.522357,145.34108
T20120028246,18-12-2012,4.35.00,Tuesday,4,Collision with a fixed object,3,Dark No street lights,BASS COAST,T intersection,100,-38.419797,145.551451
T20120028914,27-12-2012,12.30.00,Thursday,1,Collision with vehicle,2,Day,BASS COAST,Cross intersection,80,-38.407583,145.530382
